Route,avg_ton_per_trip,tons_moved,trips_completed
FA|GLADSTONE|SHIP->MELBOURNE|FA,15000.0,405000.0,27
FA|GLADSTONE|SHIP->PORT KEMBLA|FA,0.0,0.0,0
GP|DEVONPORT|SHIP->MELBOURNE|GP,11728.306561320791,844438.0724150969,72
GP|DEVONPORT|SHIP->NEWCASTLE|GP,0.0,0.0,0
GP|DEVONPORT|SHIP->OSBORN|GP,0.0,0.0,0
GP|GLADSTONE|SHIP->BULWER ISLAND|GP,7778.347986625909,591154.4469835691,76
GP|GLADSTONE|SHIP->NEWCASTLE|GP,0.0,0.0,0
GP|GLADSTONE|SHIP->PORT KEMBLA|GP,0.0,0.0,0
GP|GLADSTONE|SHIP->TOWNSVILLE|GP,0.0,0.0,0
GP|GLADSTONE|TRAIN->MACKAY|GP,1.0,297.0,297
GP|PORT KEMBLA|TRAIN->ALBURY|GP,1.0,2673.0,2673
GP|PORT KEMBLA|TRAIN->CLYDE|GP,1.0,2673.0,2673
GP|PORT KEMBLA|TRAIN->WAGGA|GP,1.0,2673.0,2673
GP|RAILTON|TRAIN->DEVONPORT|GP,608.3506776307222,1364530.5699257099,2243
SG|BULWER ISLAND|TRAIN->TENNYSON|SG,1.0,4045.0,4045
SG|PORT KEMBLA|SHIP->MELBOURNE|SG,3371.1590891176793,16855.795445588396,5
SG|PORT KEMBLA|TRAIN->CHULLORA|SG,1.0,99.0,99
SG|PORT KEMBLA|TRAIN->CLYDE|SG,1.0,99.0,99
SG|PORT KEMBLA|TRAIN->NEWCASTLE|SG,1.0,99.0,99
